Language,Num,Question,Body,Ground_Truth
Java,1,java.util.Vector - alternatives,"Previously I would always have thought a Vector was good to use for non-descript objects when length was unknown. As far as I was aware I thought it was thread-safe too

What would change that Vector shouldn't be used anymore, and what is the alternative?",ArrayList
Java,2,Convert java.util.Date to String,"I want to convert a java.util.Date object to a String in Java.

The format is 2010-05-30 22:15:52",SimpleDateFormat.format
Java,3,How to convert a Java 8 Stream to an Array?,What is the easiest/shortest way to convert a Java 8 Stream into an array?,toArray()
Java,4,alternative to GrantedAuthorityImpl() class,"I want an alternative to GrantedAuthorityImpl() class. I want this in spring security implementation. GrantedAuthorityImpl() class is deprecated. Hence I want an alternative solution to it. My code :

public Collection<GrantedAuthority> getAuthorities(Integer access) {
    List<GrantedAuthority> authList = new ArrayList<GrantedAuthority>(2);

    if (access.compareTo(1) == 0) {
        authList.add(new GrantedAuthorityImpl(""ROLE_ADMIN""));
    }
    else{
        authList.add(new GrantedAuthorityImpl(""ROLE_USER""));
    }
    return authList;
}",SimpleGrantedAuthority
Java,5,Is there an interface similar to Callable but with arguments?,"Is there an interface in Java similar to the Callable interface, that can accept an argument to its call method?

Like so:

public interface MyCallable<V> {
  V call(String s) throws Exception;
}
I would rather avoid creating a new type if there already exists something that I can use. Or is there a better strategy to having multiple clients implement and plug in a callable routine?

Copied from here http://www.programmingforums.org/thread27905.html",java.util.function
Java,6,Is there something like instanceOf(Class<?> c) in Java?,"I want to check if an object o is an instance of the class C or of a subclass of C.

For instance, if x is of class Point I want x.instanceOf(Point.class) to be true and also x.instanceOf(Object.class) to be true.

I want it to work also for boxed primitive types. For instance, if x is an Integer then x.instanceOf(Integer.class) should be true.

Is there such a thing? If not, how can I implement such a method?",Class.isInstance
Java,7,Sortable HashMap-like data structure in Java?,Is there some sort of data structure in Java that resembles a HashMap that can be sorted by key or value? In PHP you can have associative arrays that are sortable. Is there such a thing in Java?,TreeMap
Java,8,What can I use instead of Set in Java?,"The following code is in JavaScript to check if a pair of numbers in a set are equal to a specific sum.

function hasPairWithSum2(arr, sum){
    const mySet = new Set();
    const len = arr.length;

    for (let i = 0; i < len; i++){
        if (mySet.has(arr[i]))
            return true;

        mySet.add(sum - arr[i]);
    }

    return false;
}
How can I do the same in Java? What is the alternative to Set()?",HashSet
Java,9,How do I efficiently iterate over each entry in a Java Map?,"If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map?

Will the ordering of elements depend on the specific map implementation that I have for the interface?",map.entrySet()
Java,10,Remove last character of a StringBuilder?,"When you have to loop through a collection and make a string of each data separated by a delimiter, you always end up with an extra delimiter at the end, e.g.

for (String serverId : serverIds) {
  sb.append(serverId);
   sb.append("","");
}
Gives something like : serverId_1, serverId_2, serverId_3,

I would like to delete the last character in the StringBuilder (without converting it because I still need it after this loop).",deleteCharAt
Java,11,How to get the last value of an ArrayList,How can I get the last value of an ArrayList?,ArrayList.get
Java,12,How to set time zone of a java.util.Date?,"I have parsed a java.util.Date from a String but it is setting the local time zone as the time zone of the date object.

The time zone is not specified in the String from which Date is parsed. I want to set a specific time zone of the date object.

How can I do that?",setTimeZone
Kotlin,13,"Alternative for Thread.Sleep() in a ""For Loop"" in Kotlin?","I have a for loop that consists of looping towards infinity and inside that for loop, there is a Thread.sleep(T)function, the sleeping time varies from 50ms to 1s. I know there are performance and user experience costs for using a sleep function inside a loop.

So what are the Kotlin alternatives ? (I found answers but all of them are in Java, I wanna know the best alternatives in Kotlin)",delay(millis:Long)
Kotlin,14,How to iterate over hashmap in Kotlin?,"How to iterate over HashMap in Kotlin?

typealias HashMap<K, V> = HashMap<K, V> (source)
kotlinkotlin-extension",map.forEach
Kotlin,15,How to put values from a HashMap into an array,"How can I add all values from a HashMap into a String array? For example, I have:

var tablica = arrayListOf<String>()

var haszmapa = hashMapOf<String, Int>()
haszmapa.put(""Tadek"", 1)
haszmapa.put(""Maniek"", 1)
haszmapa.put(""Juras"", 1)",toTypedArray
